whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X0903.mpidb.	IMEx	missing_protein_evidence	Status	Length	Organism	Organism.ID	Mass	Cross.reference..dbSNP.	Alternative.products..isoforms.	Annotation	Protein.existence	Protein.names	whole_proteome_Uniprot_IMEx	two_hybrid	all_protein_complementation	AP_MS	two_hybrid_vs_AP_MS
P0A8J2	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	179	Escherichia coli (strain K12)	83333	19455	0		3 out of 5	Evidence at protein level	Primosomal protein 1 (Primosomal protein I)	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P0A8J4	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	87	Escherichia coli (strain K12)	83333	9827	0		2 out of 5	Evidence at protein level	UPF0250 protein YbeD	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
P0A8J8	1	1	uniprotkb	83333	1	1	0	1	1	0	reviewed	421	Escherichia coli (strain K12)	83333	47126	0		5 out of 5	Evidence at protein level	ATP-dependent RNA helicase RhlB (EC 3.6.4.13)	SwissProt_and_IMEX	1	1	1	two-hybrid and AP-MS
P0A8K1	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	322	Escherichia coli (strain K12)	83333	35934	0		5 out of 5	Evidence at protein level	Phosphatidylserine decarboxylase proenzyme (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase alpha chain; Phosphatidylserine decarboxylase beta chain]	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P0A8K5	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	66	Escherichia coli (strain K12)	83333	7214	0		1 out of 5	Inferred from homology	UPF0253 protein YaeP	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P0A8K8	1	1	0	0	0	0	0	0	0	0	reviewed	290	Escherichia coli (strain K12)	83333	32839	0		2 out of 5	Evidence at protein level	UPF0761 membrane protein YihY	SwissProt_not_IMEX	0	0	0	not in IMEx
P0A8L1	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	430	Escherichia coli (strain K12)	83333	48414	0		5 out of 5	Evidence at protein level	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P0A8L5	1	1	0	0	0	0	0	0	0	1	reviewed	153	Escherichia coli (strain K12)	83333	17910	0		1 out of 5	Inferred from homology	UPF0260 protein YcgN	SwissProt_not_IMEX	0	0	0	not in IMEx
P0A8L7	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	109	Escherichia coli (strain K12)	83333	12687	0		1 out of 5	Evidence at protein level	UPF0263 protein YciU	SwissProt_and_IMEX	1	1	1	two-hybrid and AP-MS
P0A8M0	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	466	Escherichia coli (strain K12)	83333	52570	0		4 out of 5	Evidence at protein level	Asparagine--tRNA ligase (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
P0A8M3	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	642	Escherichia coli (strain K12)	83333	74014	0		5 out of 5	Evidence at protein level	Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	SwissProt_and_IMEX	1	1	1	two-hybrid and AP-MS
P0A8M6	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	109	Escherichia coli (strain K12)	83333	12778	0		2 out of 5	Evidence at protein level	UPF0265 protein YeeX	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P0A8N0	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	150	Escherichia coli (strain K12)	83333	17693	0		4 out of 5	Evidence at protein level	Macrodomain Ter protein	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P0A8N3	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	505	Escherichia coli (strain K12)	83333	57603	0		5 out of 5	Evidence at protein level	Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
P0A8N5	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	505	Escherichia coli (strain K12)	83333	57827	0		5 out of 5	Evidence at protein level	Lysine--tRNA ligase, heat inducible (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
P0A8N7	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	325	Escherichia coli (strain K12)	83333	36976	0		5 out of 5	Evidence at protein level	Elongation factor P--(R)-beta-lysine ligase (EF-P--(R)-beta-lysine ligase) (EC 6.3.1.-) (EF-P post-translational modification enzyme A) (EF-P-lysine lysyltransferase) (GX)	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P0A8P1	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	234	Escherichia coli (strain K12)	83333	26619	0		4 out of 5	Evidence at protein level	Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6) (L/F-transferase) (Leucyltransferase) (Phenyalanyltransferase)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P0A8P3	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	91	Escherichia coli (strain K12)	83333	10953	0		3 out of 5	Evidence at protein level	Probable Fe(2+)-trafficking protein	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P0A8P6	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	298	Escherichia coli (strain K12)	83333	33868	0		5 out of 5	Evidence at protein level	Tyrosine recombinase XerC	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P0A8P8	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	298	Escherichia coli (strain K12)	83333	34246	0		5 out of 5	Evidence at protein level	Tyrosine recombinase XerD	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P0A8Q0	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	131	Escherichia coli (strain K12)	83333	15015	0		5 out of 5	Evidence at protein level	Fumarate reductase subunit C (Fumarate reductase 15 kDa hydrophobic protein)	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P0A8Q3	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	119	Escherichia coli (strain K12)	83333	13107	0		5 out of 5	Evidence at protein level	Fumarate reductase subunit D (Fumarate reductase 13 kDa hydrophobic protein)	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P0A8Q6	1	1	uniprotkb	83333	1	1	0	1	1	0	reviewed	106	Escherichia coli (strain K12)	83333	12179	0		3 out of 5	Evidence at protein level	ATP-dependent Clp protease adapter protein ClpS	SwissProt_and_IMEX	1	1	1	two-hybrid and AP-MS
P0A8R0	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	161	Escherichia coli (strain K12)	83333	17360	0		4 out of 5	Evidence at protein level	Regulator of ribonuclease activity A	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P0A8R4	1	1	0	0	0	0	0	0	0	1	reviewed	72	Escherichia coli (strain K12)	83333	8214	0		1 out of 5	Inferred from homology	Protein SlyX	SwissProt_not_IMEX	0	0	0	not in IMEx
P0A8R7	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	353	Escherichia coli (strain K12)	83333	39392	0		2 out of 5	Evidence at protein level	UPF0283 membrane protein YcjF	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
P0A8R9	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	279	Escherichia coli (strain K12)	83333	31746	0		3 out of 5	Inferred from homology	HTH-type transcriptional regulator HdfR (H-NS-dependent flhDC regulator)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P0A8S1	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	297	Escherichia coli (strain K12)	83333	33472	0		5 out of 5	Evidence at protein level	HTH-type transcriptional regulator ArgP (Inhibitor of chromosome initiation) (OriC replication inhibitor)	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
P0A8S5	1	1	0	0	0	0	0	0	0	0	reviewed	111	Escherichia coli (strain K12)	83333	13027	0		3 out of 5	Evidence at protein level	Universal stress protein B	SwissProt_not_IMEX	0	0	0	not in IMEx
P0A8S9	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	116	Escherichia coli (strain K12)	83333	13316	0		5 out of 5	Evidence at protein level	Flagellar transcriptional regulator FlhD	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P0A8T1	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	293	Escherichia coli (strain K12)	83333	31877	0		4 out of 5	Evidence at protein level	Ribosomal protein L11 methyltransferase (L11 Mtase) (EC 2.1.1.-)	SwissProt_and_IMEX	1	1	1	two-hybrid and AP-MS
P0A8T5	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	104	Escherichia coli (strain K12)	83333	11127	0		2 out of 5	Inferred from homology	Flagellar hook-basal body complex protein FliE	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P0A8T7	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	1407	Escherichia coli (strain K12)	83333	155160	0		5 out of 5	Evidence at protein level	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
P0A8U0	1	1	0	0	0	0	0	0	0	0	reviewed	181	Escherichia coli (strain K12)	83333	20708	0		3 out of 5	Evidence at protein level	Protein Syd	SwissProt_not_IMEX	0	0	0	not in IMEx
P0A8U2	1	1	0	0	0	0	0	0	0	1	reviewed	266	Escherichia coli (strain K12)	83333	29992	0		2 out of 5	Inferred from homology	UPF0294 protein YafD	SwissProt_not_IMEX	0	0	0	not in IMEx
P0A8U6	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	105	Escherichia coli (strain K12)	83333	12141	0		4 out of 5	Evidence at protein level	Met repressor (Met regulon regulatory protein MetJ)	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P0A8V0	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	305	Escherichia coli (strain K12)	83333	32930	0		5 out of 5	Evidence at protein level	Ribonuclease BN (RNase BN) (EC 3.1.-.-) (Ribonuclease Z homolog) (RNase Z homolog)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P0A8V2	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	1342	Escherichia coli (strain K12)	83333	150632	0		5 out of 5	Evidence at protein level	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	SwissProt_and_IMEX	1	1	1	two-hybrid and AP-MS
P0A8V6	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	239	Escherichia coli (strain K12)	83333	26969	0		5 out of 5	Evidence at protein level	Fatty acid metabolism regulator protein	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P0A8W0	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	263	Escherichia coli (strain K12)	83333	29524	0		3 out of 5	Inferred from homology	Transcriptional regulator NanR	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P0A8W2	1	1	0	0	0	0	0	0	0	1	reviewed	144	Escherichia coli (strain K12)	83333	16353	0		3 out of 5	Inferred from homology	Transcriptional regulator SlyA	SwissProt_not_IMEX	0	0	0	not in IMEx
P0A8W5	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	187	Escherichia coli (strain K12)	83333	20686	0		2 out of 5	Evidence at protein level	UPF0301 protein YqgE	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P0A8W8	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	164	Escherichia coli (strain K12)	83333	19536	0		2 out of 5	Evidence at protein level	UPF0304 protein YfbU	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P0A8X0	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	183	Escherichia coli (strain K12)	83333	21359	0		2 out of 5	Evidence at protein level	UPF0307 protein YjgA (x96 protein)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P0A8X2	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	191	Escherichia coli (strain K12)	83333	20912	0		2 out of 5	Evidence at protein level	Protein YceI	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P0A8X4	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	220	Escherichia coli (strain K12)	83333	24594	0		1 out of 5	Inferred from homology	UPF0319 protein YccT	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P0A8Y1	1	1	0	0	0	0	0	0	0	0	reviewed	225	Escherichia coli (strain K12)	83333	25301	0		5 out of 5	Evidence at protein level	Pyrimidine 5'-nucleotidase YjjG (EC 3.1.3.5) (House-cleaning nucleotidase) (Non-canonical pyrimidine nucleotide phosphatase) (Nucleoside 5'-monophosphate phosphohydrolase) (dUMP phosphatase)	SwissProt_not_IMEX	0	0	0	not in IMEx
P0A8Y3	1	1	0	0	0	0	0	0	0	0	reviewed	199	Escherichia coli (strain K12)	83333	22732	0		5 out of 5	Evidence at protein level	Alpha-D-glucose 1-phosphate phosphatase YihX (Alpha-D-glucose-1-P phosphatase) (EC 3.1.3.10) (Alpha-D-glucose-1-phosphatase) (Haloacid dehalogenase-like phosphatase 4) (HAD4)	SwissProt_not_IMEX	0	0	0	not in IMEx
P0A8Y5	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	270	Escherichia coli (strain K12)	83333	29721	0		5 out of 5	Evidence at protein level	Sugar phosphatase YidA (EC 3.1.3.23)	SwissProt_and_IMEX	1	1	1	two-hybrid and AP-MS
P0A8Y8	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	137	Escherichia coli (strain K12)	83333	14970	0		5 out of 5	Evidence at protein level	Proofreading thioesterase EntH (EC 3.1.2.-) (Enterobactin synthase component H) (p15)	SwissProt_and_IMEX	0	1	0	not two-hybrid, and not AP-MS
P0A8Z0	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	132	Escherichia coli (strain K12)	83333	14231	0		3 out of 5	Inferred from homology	Acyl-CoA thioester hydrolase YciA (EC 3.1.2.-) (Protein P14)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P0A8Z3	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	134	Escherichia coli (strain K12)	83333	15562	0		4 out of 5	Evidence at protein level	Acyl-CoA thioester hydrolase YbgC (Acyl-CoA thioesterase) (EC 3.1.2.-)	SwissProt_and_IMEX	1	1	1	two-hybrid and AP-MS
P0A8Z7	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	193	Escherichia coli (strain K12)	83333	21642	0		2 out of 5	Predicted	Esterase YqiA (EC 3.1.-.-)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P0A901	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	177	Escherichia coli (strain K12)	83333	19852	0		3 out of 5	Evidence at protein level	Outer membrane lipoprotein Blc	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P0A903	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	344	Escherichia coli (strain K12)	83333	36842	0		4 out of 5	Evidence at protein level	Outer membrane protein assembly factor BamC	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
P0A905	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	155	Escherichia coli (strain K12)	83333	15602	0		2 out of 5	Evidence at transcript level	Outer membrane lipoprotein SlyB	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P0A908	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	248	Escherichia coli (strain K12)	83333	27831	0		4 out of 5	Evidence at protein level	MltA-interacting protein	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P0A910	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	346	Escherichia coli (strain K12)	83333	37201	0		5 out of 5	Evidence at protein level	Outer membrane protein A (Outer membrane protein II*)	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
P0A912	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	173	Escherichia coli (strain K12)	83333	18824	0		4 out of 5	Evidence at protein level	Peptidoglycan-associated lipoprotein	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P0A915	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	212	Escherichia coli (strain K12)	83333	22928	0		3 out of 5	Evidence at protein level	Outer membrane protein W	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P0A917	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	171	Escherichia coli (strain K12)	83333	18603	0		2 out of 5	Evidence at protein level	Outer membrane protein X	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P0A921	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	289	Escherichia coli (strain K12)	83333	33163	0		5 out of 5	Evidence at protein level	Phospholipase A1 (EC 3.1.1.32) (EC 3.1.1.4) (Detergent-resistant phospholipase A) (DR-phospholipase A) (Outer membrane phospholipase A) (OM PLA) (OMPLA) (Phosphatidylcholine 1-acylhydrolase)	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P0A924	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	254	Escherichia coli (strain K12)	83333	29021	0		5 out of 5	Evidence at protein level	Phosphatidylglycerophosphatase B (EC 3.1.3.27) (Diacylglycerol pyrophosphate phosphatase) (DGPP phosphatase) (EC 3.1.3.81) (Phosphatidate phosphatase) (EC 3.1.3.4) (Undecaprenyl pyrophosphate phosphatase) (EC 3.6.1.27) (Undecaprenyl-diphosphatase)	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P0A927	1	1	0	0	0	0	0	0	0	0	reviewed	294	Escherichia coli (strain K12)	83333	33589	0		3 out of 5	Evidence at protein level	Nucleoside-specific channel-forming protein tsx	SwissProt_not_IMEX	0	0	0	not in IMEx
P0A930	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	379	Escherichia coli (strain K12)	83333	41910	0		3 out of 5	Inferred from homology	Putative polysaccharide export protein wza	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P0A932	1	1	0	0	0	0	0	0	0	1	reviewed	379	Escherichia coli (strain K12)	83333	41741	0		3 out of 5	Inferred from homology	Putative polysaccharide export protein GfcE (Group 4 capsule protein E homolog)	SwissProt_not_IMEX	0	0	0	not in IMEx
P0A935	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	365	Escherichia coli (strain K12)	83333	40411	0		5 out of 5	Evidence at protein level	Membrane-bound lytic murein transglycosylase A (EC 4.2.2.n1) (Mlt38) (Murein hydrolase A)	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P0A937	1	1	uniprotkb	83333	1	1	0	1	1	0	reviewed	113	Escherichia coli (strain K12)	83333	12302	0		5 out of 5	Evidence at protein level	Outer membrane protein assembly factor BamE	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P0A940	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	810	Escherichia coli (strain K12)	83333	90553	0		5 out of 5	Evidence at protein level	Outer membrane protein assembly factor BamA (Omp85)	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
P0A944	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	148	Escherichia coli (strain K12)	83333	16610	0		4 out of 5	Evidence at protein level	Ribosomal-protein-alanine acetyltransferase (EC 2.3.1.128) (Acetylating enzyme for N-terminal of ribosomal protein S18)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P0A948	1	1	uniprotkb	83333	1	0	0	1	1	1	reviewed	194	Escherichia coli (strain K12)	83333	22688	0		4 out of 5	Inferred from homology	Ribosomal-protein-alanine acetyltransferase (EC 2.3.1.128) (Acetylating enzyme for N-terminal of ribosomal protein S5)	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P0A951	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	186	Escherichia coli (strain K12)	83333	21887	0		5 out of 5	Evidence at protein level	Spermidine N(1)-acetyltransferase (SAT) (EC 2.3.1.57) (Spermidine/spermine N(1)-acetyltransferase) (SSAT)	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P0A953	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	406	Escherichia coli (strain K12)	83333	42613	0		5 out of 5	Evidence at protein level	3-oxoacyl-[acyl-carrier-protein] synthase 1 (EC 2.3.1.41) (3-oxoacyl-[acyl-carrier-protein] synthase I) (Beta-ketoacyl-ACP synthase I) (KAS I)	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
P0A955	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	213	Escherichia coli (strain K12)	83333	22284	0		5 out of 5	Evidence at protein level	KHG/KDPG aldolase [Includes: 4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) (2-keto-4-hydroxyglutarate aldolase) (KHG-aldolase); 2-dehydro-3-deoxy-phosphogluconate aldolase (EC 4.1.2.14) (2-keto-3-deoxy-6-phosphogluconate aldolase) (KDPG-aldolase) (Phospho-2-dehydro-3-deoxygluconate aldolase) (Phospho-2-keto-3-deoxygluconate aldolase)]	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P0A959	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	405	Escherichia coli (strain K12)	83333	45517	0		5 out of 5	Evidence at protein level	Glutamate-pyruvate aminotransferase AlaA (EC 2.6.1.2)	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
P0A962	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	338	Escherichia coli (strain K12)	83333	37127	0		5 out of 5	Evidence at protein level	L-asparaginase 1 (EC 3.5.1.1) (L-asparaginase I) (L-ASNase I) (L-asparagine amidohydrolase I)	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P0A964	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	167	Escherichia coli (strain K12)	83333	18084	0		4 out of 5	Evidence at protein level	Chemotaxis protein CheW	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P0A968	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	74	Escherichia coli (strain K12)	83333	7969	0		5 out of 5	Evidence at protein level	Cold shock-like protein CspD (CSP-D)	SwissProt_and_IMEX	1	1	1	two-hybrid and AP-MS
P0A972	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	69	Escherichia coli (strain K12)	83333	7463	0		4 out of 5	Evidence at protein level	Cold shock-like protein CspE (CSP-E)	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
P0A976	1	1	0	0	0	0	0	0	0	1	reviewed	70	Escherichia coli (strain K12)	83333	7563	0		2 out of 5	Inferred from homology	Cold shock-like protein CspF (CSP-F)	SwissProt_not_IMEX	0	0	0	not in IMEx
P0A978	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	70	Escherichia coli (strain K12)	83333	7781	0		2 out of 5	Evidence at protein level	Cold shock-like protein CspG (CPS-G)	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
P0A982	1	1	0	0	0	0	0	0	0	1	reviewed	70	Escherichia coli (strain K12)	83333	7720	0		2 out of 5	Inferred from homology	Cold shock-like protein CspH (CSP-H)	SwissProt_not_IMEX	0	0	0	not in IMEx
P0A986	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	70	Escherichia coli (strain K12)	83333	7684	0		2 out of 5	Inferred from homology	Cold shock-like protein CspI (CPS-I)	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P0A988	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	366	Escherichia coli (strain K12)	83333	40587	0		5 out of 5	Evidence at protein level	DNA polymerase III subunit beta (EC 2.7.7.7) (Beta sliding clamp) (Beta clamp)	SwissProt_and_IMEX	1	1	1	two-hybrid and AP-MS
P0A991	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	350	Escherichia coli (strain K12)	83333	38109	0		5 out of 5	Evidence at protein level	Fructose-bisphosphate aldolase class 1 (EC 4.1.2.13) (Fructose-bisphosphate aldolase class I) (FBP aldolase)	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
P0A993	1	1	0	0	0	0	0	0	0	0	reviewed	332	Escherichia coli (strain K12)	83333	36834	0		5 out of 5	Evidence at protein level	Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)	SwissProt_not_IMEX	0	0	0	not in IMEx
P0A996	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	396	Escherichia coli (strain K12)	83333	44108	0		4 out of 5	Evidence at protein level	Anaerobic glycerol-3-phosphate dehydrogenase subunit C (G-3-P dehydrogenase)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P0A998	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	165	Escherichia coli (strain K12)	83333	19424	0		5 out of 5	Evidence at protein level	Bacterial non-heme ferritin (EC 1.16.3.2) (Ferritin-1)	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P0A9A2	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	167	Escherichia coli (strain K12)	83333	18894	0		2 out of 5	Inferred from homology	Bacterial non-heme ferritin-like protein	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P0A9A6	1	1	uniprotkb	83333	1	1	1	1	1	0	reviewed	383	Escherichia coli (strain K12)	83333	40324	0		5 out of 5	Evidence at protein level	Cell division protein FtsZ	SwissProt_and_IMEX	1	1	1	two-hybrid and AP-MS
P0A9A9	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	148	Escherichia coli (strain K12)	83333	16795	0		4 out of 5	Evidence at protein level	Ferric uptake regulation protein (Ferric uptake regulator)	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
P0A9B2	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	331	Escherichia coli (strain K12)	83333	35532	0		5 out of 5	Evidence at protein level	Glyceraldehyde-3-phosphate dehydrogenase A (GAPDH-A) (EC 1.2.1.12) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase)	SwissProt_and_IMEX	1	1	1	two-hybrid and AP-MS
P0A9B6	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	339	Escherichia coli (strain K12)	83333	37299	0		5 out of 5	Evidence at protein level	D-erythrose-4-phosphate dehydrogenase (E4PDH) (EC 1.2.1.72)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P0A9C0	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	542	Escherichia coli (strain K12)	83333	58958	0		5 out of 5	Evidence at protein level	Anaerobic glycerol-3-phosphate dehydrogenase subunit A (G-3-P dehydrogenase) (EC 1.1.5.3)	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
