whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X0903.mpidb.	IMEx	missing_protein_evidence	Status	Length	Organism	Organism.ID	Mass	Cross.reference..dbSNP.	Alternative.products..isoforms.	Annotation	Protein.existence	whole_proteome_Uniprot_IMEx
P0A8I3	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	258	Escherichia coli (strain K12)	83333	29586	NA	NA	2 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8I5	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	239	Escherichia coli (strain K12)	83333	27307	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8I8	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	155	Escherichia coli (strain K12)	83333	17341	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8J2	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	179	Escherichia coli (strain K12)	83333	19455	NA	NA	3 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8J4	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	87	Escherichia coli (strain K12)	83333	9827	NA	NA	2 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8J8	1	1	uniprotkb	83333	1	1	0	1	1	0	reviewed	421	Escherichia coli (strain K12)	83333	47126	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8K1	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	322	Escherichia coli (strain K12)	83333	35934	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8K5	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	66	Escherichia coli (strain K12)	83333	7214	NA	NA	1 out of 5	Inferred from homology	SwissProt_and_IMEX
P0A8K8	1	1	0	0	0	0	0	0	0	0	reviewed	290	Escherichia coli (strain K12)	83333	32839	NA	NA	2 out of 5	Evidence at protein level	SwissProt_not_IMEX
P0A8L1	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	430	Escherichia coli (strain K12)	83333	48414	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8L5	1	1	0	0	0	0	0	0	0	1	reviewed	153	Escherichia coli (strain K12)	83333	17910	NA	NA	1 out of 5	Inferred from homology	SwissProt_not_IMEX
P0A8L7	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	109	Escherichia coli (strain K12)	83333	12687	NA	NA	1 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8M0	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	466	Escherichia coli (strain K12)	83333	52570	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8M3	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	642	Escherichia coli (strain K12)	83333	74014	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8M6	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	109	Escherichia coli (strain K12)	83333	12778	NA	NA	2 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8N0	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	150	Escherichia coli (strain K12)	83333	17693	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8N3	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	505	Escherichia coli (strain K12)	83333	57603	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8N5	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	505	Escherichia coli (strain K12)	83333	57827	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8N7	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	325	Escherichia coli (strain K12)	83333	36976	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8P1	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	234	Escherichia coli (strain K12)	83333	26619	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8P3	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	91	Escherichia coli (strain K12)	83333	10953	NA	NA	3 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8P6	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	298	Escherichia coli (strain K12)	83333	33868	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8P8	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	298	Escherichia coli (strain K12)	83333	34246	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8Q0	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	131	Escherichia coli (strain K12)	83333	15015	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8Q3	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	119	Escherichia coli (strain K12)	83333	13107	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8Q6	1	1	uniprotkb	83333	1	1	0	1	1	0	reviewed	106	Escherichia coli (strain K12)	83333	12179	NA	NA	3 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8R0	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	161	Escherichia coli (strain K12)	83333	17360	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8R4	1	1	0	0	0	0	0	0	0	1	reviewed	72	Escherichia coli (strain K12)	83333	8214	NA	NA	1 out of 5	Inferred from homology	SwissProt_not_IMEX
P0A8R7	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	353	Escherichia coli (strain K12)	83333	39392	NA	NA	2 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8R9	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	279	Escherichia coli (strain K12)	83333	31746	NA	NA	3 out of 5	Inferred from homology	SwissProt_and_IMEX
P0A8S1	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	297	Escherichia coli (strain K12)	83333	33472	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8S5	1	1	0	0	0	0	0	0	0	0	reviewed	111	Escherichia coli (strain K12)	83333	13027	NA	NA	3 out of 5	Evidence at protein level	SwissProt_not_IMEX
P0A8S9	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	116	Escherichia coli (strain K12)	83333	13316	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8T1	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	293	Escherichia coli (strain K12)	83333	31877	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8T5	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	104	Escherichia coli (strain K12)	83333	11127	NA	NA	2 out of 5	Inferred from homology	SwissProt_and_IMEX
P0A8T7	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	1407	Escherichia coli (strain K12)	83333	155160	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8U0	1	1	0	0	0	0	0	0	0	0	reviewed	181	Escherichia coli (strain K12)	83333	20708	NA	NA	3 out of 5	Evidence at protein level	SwissProt_not_IMEX
P0A8U2	1	1	0	0	0	0	0	0	0	1	reviewed	266	Escherichia coli (strain K12)	83333	29992	NA	NA	2 out of 5	Inferred from homology	SwissProt_not_IMEX
P0A8U6	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	105	Escherichia coli (strain K12)	83333	12141	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8V0	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	305	Escherichia coli (strain K12)	83333	32930	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8V2	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	1342	Escherichia coli (strain K12)	83333	150632	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8V6	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	239	Escherichia coli (strain K12)	83333	26969	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8W0	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	263	Escherichia coli (strain K12)	83333	29524	NA	NA	3 out of 5	Inferred from homology	SwissProt_and_IMEX
P0A8W2	1	1	0	0	0	0	0	0	0	1	reviewed	144	Escherichia coli (strain K12)	83333	16353	NA	NA	3 out of 5	Inferred from homology	SwissProt_not_IMEX
P0A8W5	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	187	Escherichia coli (strain K12)	83333	20686	NA	NA	2 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8W8	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	164	Escherichia coli (strain K12)	83333	19536	NA	NA	2 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8X0	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	183	Escherichia coli (strain K12)	83333	21359	NA	NA	2 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8X2	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	191	Escherichia coli (strain K12)	83333	20912	NA	NA	2 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8X4	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	220	Escherichia coli (strain K12)	83333	24594	NA	NA	1 out of 5	Inferred from homology	SwissProt_and_IMEX
P0A8Y1	1	1	0	0	0	0	0	0	0	0	reviewed	225	Escherichia coli (strain K12)	83333	25301	NA	NA	5 out of 5	Evidence at protein level	SwissProt_not_IMEX
P0A8Y3	1	1	0	0	0	0	0	0	0	0	reviewed	199	Escherichia coli (strain K12)	83333	22732	NA	NA	5 out of 5	Evidence at protein level	SwissProt_not_IMEX
P0A8Y5	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	270	Escherichia coli (strain K12)	83333	29721	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8Y8	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	137	Escherichia coli (strain K12)	83333	14970	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8Z0	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	132	Escherichia coli (strain K12)	83333	14231	NA	NA	3 out of 5	Inferred from homology	SwissProt_and_IMEX
P0A8Z3	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	134	Escherichia coli (strain K12)	83333	15562	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A8Z7	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	193	Escherichia coli (strain K12)	83333	21642	NA	NA	2 out of 5	Predicted	SwissProt_and_IMEX
P0A901	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	177	Escherichia coli (strain K12)	83333	19852	NA	NA	3 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A903	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	344	Escherichia coli (strain K12)	83333	36842	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A905	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	155	Escherichia coli (strain K12)	83333	15602	NA	NA	2 out of 5	Evidence at transcript level	SwissProt_and_IMEX
P0A908	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	248	Escherichia coli (strain K12)	83333	27831	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A910	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	346	Escherichia coli (strain K12)	83333	37201	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A912	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	173	Escherichia coli (strain K12)	83333	18824	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A915	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	212	Escherichia coli (strain K12)	83333	22928	NA	NA	3 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A917	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	171	Escherichia coli (strain K12)	83333	18603	NA	NA	2 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A921	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	289	Escherichia coli (strain K12)	83333	33163	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A924	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	254	Escherichia coli (strain K12)	83333	29021	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A927	1	1	0	0	0	0	0	0	0	0	reviewed	294	Escherichia coli (strain K12)	83333	33589	NA	NA	3 out of 5	Evidence at protein level	SwissProt_not_IMEX
P0A930	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	379	Escherichia coli (strain K12)	83333	41910	NA	NA	3 out of 5	Inferred from homology	SwissProt_and_IMEX
P0A932	1	1	0	0	0	0	0	0	0	1	reviewed	379	Escherichia coli (strain K12)	83333	41741	NA	NA	3 out of 5	Inferred from homology	SwissProt_not_IMEX
P0A935	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	365	Escherichia coli (strain K12)	83333	40411	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A937	1	1	uniprotkb	83333	1	1	0	1	1	0	reviewed	113	Escherichia coli (strain K12)	83333	12302	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A940	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	810	Escherichia coli (strain K12)	83333	90553	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A944	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	148	Escherichia coli (strain K12)	83333	16610	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A948	1	1	uniprotkb	83333	1	0	0	1	1	1	reviewed	194	Escherichia coli (strain K12)	83333	22688	NA	NA	4 out of 5	Inferred from homology	SwissProt_and_IMEX
P0A951	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	186	Escherichia coli (strain K12)	83333	21887	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A953	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	406	Escherichia coli (strain K12)	83333	42613	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A955	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	213	Escherichia coli (strain K12)	83333	22284	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A959	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	405	Escherichia coli (strain K12)	83333	45517	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A962	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	338	Escherichia coli (strain K12)	83333	37127	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A964	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	167	Escherichia coli (strain K12)	83333	18084	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A968	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	74	Escherichia coli (strain K12)	83333	7969	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A972	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	69	Escherichia coli (strain K12)	83333	7463	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A976	1	1	0	0	0	0	0	0	0	1	reviewed	70	Escherichia coli (strain K12)	83333	7563	NA	NA	2 out of 5	Inferred from homology	SwissProt_not_IMEX
P0A978	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	70	Escherichia coli (strain K12)	83333	7781	NA	NA	2 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A982	1	1	0	0	0	0	0	0	0	1	reviewed	70	Escherichia coli (strain K12)	83333	7720	NA	NA	2 out of 5	Inferred from homology	SwissProt_not_IMEX
P0A986	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	70	Escherichia coli (strain K12)	83333	7684	NA	NA	2 out of 5	Inferred from homology	SwissProt_and_IMEX
P0A988	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	366	Escherichia coli (strain K12)	83333	40587	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A991	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	350	Escherichia coli (strain K12)	83333	38109	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A993	1	1	0	0	0	0	0	0	0	0	reviewed	332	Escherichia coli (strain K12)	83333	36834	NA	NA	5 out of 5	Evidence at protein level	SwissProt_not_IMEX
P0A996	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	396	Escherichia coli (strain K12)	83333	44108	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A998	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	165	Escherichia coli (strain K12)	83333	19424	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9A2	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	167	Escherichia coli (strain K12)	83333	18894	NA	NA	2 out of 5	Inferred from homology	SwissProt_and_IMEX
P0A9A6	1	1	uniprotkb	83333	1	1	1	1	1	0	reviewed	383	Escherichia coli (strain K12)	83333	40324	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9A9	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	148	Escherichia coli (strain K12)	83333	16795	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9B2	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	331	Escherichia coli (strain K12)	83333	35532	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9B6	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	339	Escherichia coli (strain K12)	83333	37299	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9C0	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	542	Escherichia coli (strain K12)	83333	58958	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9C3	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	346	Escherichia coli (strain K12)	83333	38190	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9C5	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	469	Escherichia coli (strain K12)	83333	51904	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9C9	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	336	Escherichia coli (strain K12)	83333	35852	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9D2	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	201	Escherichia coli (strain K12)	83333	22868	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9D4	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	273	Escherichia coli (strain K12)	83333	29317	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9D8	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	274	Escherichia coli (strain K12)	83333	29892	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9E0	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	292	Escherichia coli (strain K12)	83333	33384	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9E2	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	107	Escherichia coli (strain K12)	83333	12911	NA	NA	3 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9E5	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	250	Escherichia coli (strain K12)	83333	27967	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9E9	1	1	0	0	0	0	0	0	0	0	reviewed	219	Escherichia coli (strain K12)	83333	25294	NA	NA	3 out of 5	Evidence at protein level	SwissProt_not_IMEX
P0A9F1	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	155	Escherichia coli (strain K12)	83333	17640	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9F3	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	324	Escherichia coli (strain K12)	83333	36150	NA	NA	3 out of 5	Inferred from homology	SwissProt_and_IMEX
P0A9F6	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	305	Escherichia coli (strain K12)	83333	34402	NA	NA	3 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9F9	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	317	Escherichia coli (strain K12)	83333	35629	NA	NA	3 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9G2	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	301	Escherichia coli (strain K12)	83333	34284	NA	NA	3 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9G4	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	135	Escherichia coli (strain K12)	83333	15235	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9G6	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	434	Escherichia coli (strain K12)	83333	47522	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9G8	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	262	Escherichia coli (strain K12)	83333	28281	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9H1	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	168	Escherichia coli (strain K12)	83333	18673	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9H3	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	715	Escherichia coli (strain K12)	83333	81260	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9H5	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	196	Escherichia coli (strain K12)	83333	21999	NA	NA	3 out of 5	Inferred from homology	SwissProt_and_IMEX
P0A9H7	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	382	Escherichia coli (strain K12)	83333	43909	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9H9	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	214	Escherichia coli (strain K12)	83333	23976	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9I1	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	302	Escherichia coli (strain K12)	83333	33110	NA	NA	4 out of 5	Evidence at transcript level	SwissProt_and_IMEX
P0A9I3	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	190	Escherichia coli (strain K12)	83333	20769	NA	NA	3 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9I5	1	1	uniprotkb	83333	1	1	0	1	1	0	reviewed	87	Escherichia coli (strain K12)	83333	9469	NA	NA	3 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9I8	1	1	0	0	0	0	0	0	0	0	reviewed	108	Escherichia coli (strain K12)	83333	12284	NA	NA	4 out of 5	Evidence at protein level	SwissProt_not_IMEX
P0A9J0	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	489	Escherichia coli (strain K12)	83333	55364	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9J4	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	303	Escherichia coli (strain K12)	83333	33871	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9J6	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	309	Escherichia coli (strain K12)	83333	32291	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9J8	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	386	Escherichia coli (strain K12)	83333	43111	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9K1	1	1	0	0	0	0	0	0	0	0	reviewed	354	Escherichia coli (strain K12)	83333	39265	NA	NA	2 out of 5	Evidence at protein level	SwissProt_not_IMEX
P0A9K3	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	346	Escherichia coli (strain K12)	83333	39039	NA	NA	2 out of 5	Inferred from homology	SwissProt_and_IMEX
P0A9K7	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	241	Escherichia coli (strain K12)	83333	27417	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9K9	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	196	Escherichia coli (strain K12)	83333	20853	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9L3	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	206	Escherichia coli (strain K12)	83333	22216	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9L5	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	93	Escherichia coli (strain K12)	83333	10232	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9L8	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	269	Escherichia coli (strain K12)	83333	28145	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9M0	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	784	Escherichia coli (strain K12)	83333	87438	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9M2	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	178	Escherichia coli (strain K12)	83333	20115	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9M5	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	152	Escherichia coli (strain K12)	83333	16971	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9M8	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	714	Escherichia coli (strain K12)	83333	77172	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9N0	1	1	0	0	0	0	0	0	0	0	reviewed	90	Escherichia coli (strain K12)	83333	9810	NA	NA	4 out of 5	Evidence at protein level	SwissProt_not_IMEX
P0A9N4	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	246	Escherichia coli (strain K12)	83333	28204	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9N8	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	154	Escherichia coli (strain K12)	83333	17446	NA	NA	5 out of 5	Evidence at transcript level	SwissProt_and_IMEX
P0A9P0	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	474	Escherichia coli (strain K12)	83333	50688	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9P4	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	321	Escherichia coli (strain K12)	83333	34623	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9P6	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	629	Escherichia coli (strain K12)	83333	70546	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P0A9P9	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	254	Escherichia coli (strain K12)	83333	27563	NA	NA	3 out of 5	Inferred from homology	SwissProt_and_IMEX
P0A9Q1	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	238	Escherichia coli (strain K12)	83333	27292	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
